Account length,Customer service calls,International plan,Number vmail messages,Total day calls,Total day charge,Total day minutes,Total eve calls,Total eve charge,Total eve minutes,Total intl calls,Total intl charge,Total intl minutes,Total night calls,Total night charge,Total night minutes,Voice mail plan,Changed
95,0,No,32,123,44.57,262.2,82,14.04,165.2,5,2.86,10.6,57,8.74,194.3,Yes,False
179,0,No,0,101,19.74,116.1,99,17.15,201.8,5,3.13,11.6,103,8.19,181.9,No,False
164,3,No,0,95,32.66,192.1,94,21.23,249.8,3,1.97,7.3,100,5.97,132.6,No,False
136,1,No,0,106,45.87,269.8,101,19.45,228.8,8,2.73,10.1,106,11.59,257.5,No,True
94,0,No,28,88,39.64,233.2,102,9.63,113.3,4,4.35,16.1,71,5.31,118.0,Yes,False
149,2,No,0,80,29.82,175.4,127,16.78,197.4,2,2.62,9.7,102,8.47,188.2,No,False
98,1,No,31,105,20.57,121.0,98,18.61,218.9,1,3.24,12.0,110,10.2,226.7,Yes,False
80,1,No,36,115,32.35,190.3,78,21.81,256.6,4,1.03,3.8,145,9.67,214.9,Yes,False
86,1,No,38,158,20.91,123.0,119,11.38,133.9,4,3.59,13.3,103,6.22,138.2,Yes,False
87,0,No,30,114,44.68,262.8,130,18.34,215.8,2,2.11,7.8,88,6.97,154.8,Yes,False
132,2,No,0,121,30.79,181.1,109,26.72,314.4,9,1.13,4.2,81,11.1,246.7,No,False
204,3,No,0,145,34.88,205.2,95,13.16,154.8,5,3.81,14.1,77,8.61,191.4,No,False
95,1,No,0,98,31.18,183.4,95,23.91,281.3,8,2.21,8.2,113,4.73,105.2,No,False
157,3,No,28,107,32.74,192.6,74,16.62,195.5,5,1.84,6.8,139,4.94,109.7,Yes,False
87,1,No,0,79,31.77,186.9,105,15.52,182.6,14,1.13,4.2,90,6.44,143.1,No,False
139,2,No,43,85,39.27,231.0,82,18.9,222.3,5,2.24,8.3,105,6.66,148.0,Yes,False
130,1,No,0,109,30.07,176.9,104,7.71,90.7,2,2.57,9.5,69,10.71,238.0,No,False
60,1,No,0,133,24.65,145.0,92,17.77,209.1,2,3.94,14.6,112,14.78,328.5,No,False
119,3,No,0,88,40.65,239.1,79,20.7,243.5,3,2.94,10.9,92,10.39,230.9,No,True
108,0,No,0,99,33.75,198.5,60,22.76,267.8,3,2.54,9.4,75,15.97,354.9,No,True
145,1,No,0,116,41.79,245.8,91,24.37,286.7,13,2.43,9.0,115,10.83,240.7,No,True
67,0,No,0,117,18.55,109.1,124,18.48,217.4,6,3.46,12.8,141,8.48,188.4,No,False
55,1,No,0,130,41.74,245.5,54,16.38,192.7,4,2.46,9.1,83,6.38,141.7,No,False
122,1,No,0,94,28.99,170.5,109,14.76,173.7,2,3.05,11.3,75,11.19,248.6,No,False
162,1,No,0,117,37.5,220.6,121,13.19,155.2,11,2.84,10.5,89,8.4,186.7,No,False
131,2,No,0,123,44.78,263.4,74,12.91,151.9,2,2.89,10.7,101,9.83,218.5,No,False
84,1,No,0,133,24.96,146.8,73,14.59,171.7,3,2.67,9.9,69,10.55,234.5,No,False
